"Pedon_ID","UTM_ID","H_number","Horizon","topDepth_cm","bottomDepth_cm","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma","texture","text_modifier","clay","sand","RF","Gravel","Cobbles","Stones","structure","dry_cons","moist_cons","stickiness","plasticity","roots","pores","pH","EC","Eff.","Boundary","CaCO3_meas","Gyp_meas","CaCO3_vis","Gyp_vis","concent_kind_.","pv_kind","pv_.","pv_distinct","pv_location","notes"
NA,"0374400_3601439",2,"Btk",30,84,"5YR",4,6,NA,NA,NA,"SL",NA,16,NA,NA,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,15,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0374405_3600669",1,"AB",0,3,"7.5YR",4,4,NA,NA,NA,"LS",NA,10,NA,0,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,5,0,NA,NA,NA,NA,NA,NA
NA,"0374405_3600669",2,"Bk",30,71,"5YR",4,6,NA,NA,NA,"SL",NA,12,NA,5,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,15,5,NA,NA,NA,NA,NA,NA
NA,"0374405_3600669",3,"Bky",71,114,"5YR",4,6,NA,NA,NA,"SL",NA,15,NA,20,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,30,10,NA,NA,NA,NA,NA,NA
NA,"0374507_3600766",1,"AB",0,30,"7.5YR",5,4,NA,NA,NA,"LS",NA,10,NA,0,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,5,0,NA,NA,NA,NA,NA,NA
NA,"0374507_3600766",2,"Bk",30,51,"5YR",4,6,NA,NA,NA,"SL",NA,12,NA,5,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,15,5,NA,NA,NA,NA,NA,NA
NA,"0374507_3600766",3,"Bky",51,114,"5YR",4,6,NA,NA,NA,"SL",NA,15,NA,30,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,35,10,NA,NA,NA,NA,NA,NA
NA,"0374508_3601520",1,"Bw",0,61,"7.5YR",4,6,NA,NA,NA,"LS",NA,12,NA,NA,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,15,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0374508_3601520",2,"Btk",61,127,"7.5YR",5,4,NA,NA,NA,"L",NA,25,NA,NA,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"VE",NA,40,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0374515_3734608",1,"A",0,6,"7.5YR",3,2,"7.5YR",2.5,2,"CL",NA,29,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0374515_3734608",2,"Bk",6,135,"7.5YR",3,2,"7.5YR",2.5,2,"SICL",NA,34,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
