"utm_E","utm_N","utm_ID"
368457,3673425,"0368457_3673425"
368870,3673608,"0368870_3673608"
369545,3673780,"0369545_3673780"
369786,3673830,"0369786_3673830"
372465,3664855,"0372465_3664855"
374095,3660267,"0374095_3660267"
374373,3660501,"0374373_3660501"
382139,3700329,"0382139_3700329"
382265,3700474,"0382265_3700474"
382380,3700507,"0382380_3700507"
382621,3692499,"0382621_3692499"
382708,3700646,"0382708_3700646"
383368,3693305,"0383368_3693305"
384521,3660477,"0384521_3660477"
378501,3616189,"0378501_3616189"
378800,3616327,"0378800_3616327"
378902,3616406,"0378902_3616406"
379011,3616463,"0379011_3616463"
386979,3660583,"0386979_3660583"
375401,3617318,"0375401_3617318"
375402,3617234,"0375402_3617234"
375462,3617131,"0375462_3617131"
358383,3644825,"0358383_3644825"
358449,3644893,"0358449_3644893"
358603,3645077,"0358603_3645077"
358615,3645079,"0358615_3645079"
346654,3731462,"0346654_3731462"
365168,3676500,"0365168_3676500"
367112,3678003,"0367112_3678003"
367191,3677881,"0367191_3677881"
367319,3677824,"0367319_3677824"
367400,3677713,"0367400_3677713"
367541,3677690,"0367541_3677690"
367841,3677703,"0367841_3677703"
368139,3677835,"0368139_3677835"
368304,3677895,"0368304_3677895"
368885,3679120,"0368885_3679120"
369247,3678772,"0369247_3678772"
369494,3678415,"0369494_3678415"
369742,3678073,"0369742_3678073"
370287,3601819,"0370287_3601819"
382022,3700509,"0382022_3700509"
382281,3685304,"0382281_3685304"
386045,3660496,"0386045_3660496"
387334,3661770,"0387334_3661770"
395390,3655757,"0395390_3655757"
387267,3664335,"0387267_3664335"
396332,3648494,"0396332_3648494"
396143,3642010,"0396143_3642010"
369916,3732833,"0369916_3732833"
325784,3718493,"0325784_3718493"
367750,3734208,"0367750_3734208"
344741,3726017,"0344741_3726017"
366520,3728451,"0366520_3728451"
324496,3717411,"0324496_3717411"
325140,3717952,"0325140_3717952"
326103,3718765,"0326103_3718765"
370862,3597214,"0370862_3597214"
389830,3627321,"0389830_3627321"
379989,3703687,"0379989_3703687"
376490,3616473,"0376490_3616473"
383997,3629796,"0383997_3629796"
385811,3629970,"0385811_3629970"
385862,3623331,"0385862_3623331"
385875,3622956,"0385875_3622956"
385875,3623051,"0385875_3623051"
385881,3622543,"0385881_3622543"
385881,3622645,"0385881_3622645"
385882,3622461,"0385882_3622461"
385882,3622740,"0385882_3622740"
385882,3622848,"0385882_3622848"
386149,3629611,"0386149_3629611"
387065,3631751,"0387065_3631751"
387179,3632043,"0387179_3632043"
387294,3632344,"0387294_3632344"
387955,3640544,"0387955_3640544"
388071,3640441,"0388071_3640441"
388224,3640413,"0388224_3640413"
388310,3640292,"0388310_3640292"
388424,3640183,"0388424_3640183"
388542,3639986,"0388542_3639986"
388553,3639741,"0388553_3639741"
388560,3640106,"0388560_3640106"
388584,3639865,"0388584_3639865"
388587,3639617,"0388587_3639617"
389915,3638768,"0389915_3638768"
389921,3638882,"0389921_3638882"
389959,3646803,"0389959_3646803"
389965,3638909,"0389965_3638909"
389975,3646796,"0389975_3646796"
389975,3646861,"0389975_3646861"
390006,3646980,"0390006_3646980"
390024,3639018,"0390024_3639018"
390025,3647031,"0390025_3647031"
390041,3639317,"0390041_3639317"
390046,3647090,"0390046_3647090"
390079,3639212,"0390076_3639212"
390089,3647219,"0390089_3647219"
390093,3639282,"0390093_3639282"
390131,3647200,"0390131_3647200"
390156,3647346,"0390156_3647346"
391247,3643210,"0391247_3643210"
391278,3643184,"0391278_3643184"
391311,3643149,"0391311_3643149"
391338,3643120,"0391338_3643120"
391398,3642930,"0391398_3642930"
391398,3642978,"0391398_3642978"
391416,3642891,"0391416_3642891"
391441,3642856,"0391441_3642856"
396628,3642940,"0396628_3642940"
399369,3645018,"0399369_3645018"
366148,3673358,"0366148_3673358"
366424,3673526,"0366424_3673526"
367416,3674584,"0367416_3674584"
366685,3673737,"0366685_3673737"
366900,3674000,"0366900_3674000"
367173,3674324,"0367173_3674324"
367731,3674977,"0367731_3674977"
399344,3645019,"0399344_3645019"
346314,3730933,"0346314_3730933"
364493,3715607,"0364493_3715607"
399326,3645144,"0399326_3645144"
399217,3645034,"0399217_3645034"
399256,3643068,"0399256_3643068"
399287,3645105,"0399287_3645105"
399364,3645186,"0399364_3645186"
399396,3645212,"0399396_3645212"
363348,3729235,"0368848_3729235"
370928,3731866,"0370928_3731866"
371120,3731863,"0371120_3731863"
370320,3736841,"0370320_3736841"
377441,3756548,"0377441_3756548"
364807,3736434,"0364807_3736434"
369225,3725934,"0369225_3725934"
369779,3730100,"0369779_3730100"
370195,3726766,"0370195_3726766"
370389,3726931,"0370389_3726931"
370710,3730966,"0370710_3730966"
364081,3725771,"0364081_3725771"
369419,3726102,"0369419_3726102"
369537,3725605,"0369537_3725605"
370001,3726600,"0370001_3726600"
370245,3720533,"0370245_3730533"
370477,3730750,"0370477_3730750"
370583,3737097,"0370583_3737097"
371825,3734049,"0371825_3734049"
369313,3729665,"0369313_3729665"
343428,3742238,"0343428_3742238"
369546,3729881,"0369546_3729881"
384560,3586029,"0384560_3586029"
384645,3585489,"0384645_3585489"
384824,3585897,"0384824_3585897"
392304,3596887,"0392304_3596887"
392318,3596732,"0392318_3596732"
366786,3727846,"0366786_3727846"
345704,3742909,"0345704_3742909"
346397,3742089,"0346397_3742089"
380939,3597934,"0380939_3597934"
381725,3598976,"0381725_3598976"
392297,3596047,"0392297_3596047"
392298,3595217,"0392298_3595217"
392300,3596265,"0392300_3596265"
392323,3596500,"0392323_3596500"
370943,3731182,"0370943_3731182"
360052,3733228,"0360052_3733228"
360227,3726241,"0360227_3726241"
370806,3739109,"0370806_3739109"
371168,3738969,"0371168_3738969"
370540,3740426,"0370540_3740426"
370749,3739674,"0370749_3739674"
371063,3738545,"0371063_3738545"
370435,3704080,"0370435_3704080"
370644,3740050,"0370644_3740050"
370589,3735225,"0370589_3735225"
370958,3738921,"0370958_3738921"
371377,3737416,"0371377_3737416"
370854,3739297,"0370854_3739297"
370501,3729329,"0370501_3729329"
370650,3725253,"0370650_3725253"
370012,3730317,"0370012_3730317"
399322,3645028,"0399322_3645028"
369818,3737514,"0369818_3737514"
377046,3663826,"0377046_3663826"
358103,3644088,"0358103_3644088"
351139,3720697,"0351139_3720697"
352045,3722005,"0352045_3722005"
350231,3719384,"0350231_3719384"
350688,3720039,"0350688_3720039"
351581,3721356,"0351581_3721356"
352592,3722655,"0352592_3722655"
352960,3723313,"0352960_3723313"
355060,3716310,"0355060_3716310"
355594,3715717,"0355594_3715717"
338787,3721037,"0338787_3721037"
339590,3720975,"0339590_3720975"
341193,3720847,"0341193_3720847"
340388,3720915,"0340388_3720915"
341992,3720781,"0341992_3720781"
343428,3742238,"0343428_3742238"
339398,3723762,"0339398_3723762"
337989,3721097,"0337989_3721097"
361635,3733474,"0361635_3733474"
330097,3739408,"0330097_3739408"
330412,3738732,"0330412_3738732"
335666,3739215,"0335666_3739215"
338406,3738619,"0338406_3738619"
338407,3738657,"0338407_3738657"
338409,3738667,"0338409_3738667"
338411,3738771,"0338411_3738771"
338412,3738817,"0338412_3738817"
338415,3738853,"0338415_3738853"
338418,3738890,"0338418_3738890"
338635,3739145,"0338635_3739145"
338693,3739232,"0338693_3739232"
338732,3739251,"0338732_3739251"
338765,3739274,"0338765_3739274"
338801,3742945,"0338801_3742945"
338802,3739303,"0338802_3739303"
338829,3739326,"0338829_3739326"
338851,3739351,"0338851_3739351"
338881,3739376,"0338881_3739376"
339921,3744125,"0339921_3744125"
340008,3738270,"0340008_3738270"
340025,3738338,"0340025_3738338"
340026,3738301,"0340026_3738301"
340030,3738053,"0340030_3738053"
340030,3738103,"0340030_3738103"
340030,3738159,"0340030_3738159"
390470,3586816,"0390470_3586816"
391113,3621848,"0391113_3621848"
391119,3621830,"0391119_3621830"
391164,3621835,"0391164_3621835"
391194,3621808,"0391194_3621808"
391238,3621817,"0391238_3621817"
391258,3621390,"0391258_3621390"
391275,3621773,"0391275_3621773"
391294,3621768,"0391294_3621768"
378128,3617754,"0378128_3617754"
379370,3618386,"0379370_3618386"
379618,3618522,"0379618_3618522"
380074,3618740,"0380074_3618740"
380534,3618843,"0380534_3618843"
390326,3587421,"0390326_3587421"
390436,3587438,"0390436_3587438"
390546,3587456,"0390546_3587456"
390656,3587473,"0390656_3587473"
390766,3587490,"0390766_3587490"
388417,3721655,"0388417_3721655"
388430,3721678,"0388430_3721678"
388466,3721700,"0388466_3721700"
388495,3724754,"0388495_3724754"
